Index,Open,High,Low,CurrentValue,PrevClose,ChPts,ChPercent,WeekHigh52,WeekLow52,Turnover,PercentInTotalTurnover
BSE SENSEX,77,102.05,77,145.46,76,719.70,76,881.25,76,606.57,274.68,0.36,77,145.46,62,801.91,444.74,6.34
BSE SENSEX 50,24,685.81,24,695.05,24,555.77,24,611.78,24,526.13,85.65,0.35,24,695.05,19,576.64,709.75,10.12
BSE SENSEX Next 50,80,680.74,80,694.30,80,059.32,80,487.70,79,876.61,611.09,0.77,80,694.30,52,201.04,534.81,7.63
BSE 100,24,864.62,24,873.02,24,723.33,24,792.32,24,687.63,104.69,0.42,24,873.02,19,037.98,1,248.74,17.81
BSE Bharat 22 Index,8,949.63,8,951.26,8,846.71,8,895.45,8,870.31,25.14,0.28,8,951.26,8,846.71,385.11,5.49
BSE MidCap,45,555.10,45,576.53,45,293.66,45,494.72,45,164.03,330.69,0.73,45,576.53,27,911.73,2,417.41,34.47
BSE SmallCap,50,605.59,50,683.17,50,328.33,50,659.38,50,233.11,426.27,0.85,50,683.17,31,902.03,3,198.34,45.60
BSE 200,10,900.32,10,903.70,10,841.33,10,873.82,10,823.79,50.03,0.46,10,903.70,8,047.51,2,091.46,29.82
BSE 150 MidCap Index,15,467.15,15,472.66,15,365.85,15,443.10,15,338.76,104.34,0.68,15,472.66,9,776.67,2,659.79,37.92
BSE 250 SmallCap Index,6,738.05,6,747.69,6,707.09,6,747.26,6,686.52,60.74,0.91,6,746.53,4,312.18,997.01,14.22
BSE 250 LargeMidCap Index,10,361.30,10,364.18,10,303.18,10,336.05,10,288.67,47.38,0.46,10,364.18,7,614.22,3,887.65,55.43
BSE 400 MidSmallCap Index,11,717.51,11,720.75,11,648.32,11,710.18,11,622.67,87.51,0.75,11,720.75,7,441.44,3,656.79,52.14
BSE 500,34,951.04,34,959.06,34,758.67,34,877.87,34,704.05,173.82,0.50,34,959.06,25,392.29,4,884.65,69.65
BSE AllCap,10,194.05,10,196.38,10,137.24,10,173.90,10,121.54,52.36,0.52,10,196.38,7,326.87,6,917.48,98.63
BSE LargeCap,9,236.95,9,240.32,9,185.11,9,210.09,9,175.08,35.01,0.38,9,240.32,7,082.33,1,301.74,18.56
BSE SmallCap Select Index,7,575.97,7,592.45,7,543.78,7,583.68,7,514.80,68.88,0.92,7,592.45,5,168.61,309.64,4.42
BSE MidCap Select Index,16,225.68,16,237.17,16,109.53,16,167.38,16,059.25,108.13,0.67,16,237.17,10,321.38,247.16,3.52
BSE 100 LargeCap TMC Index,8,876.52,8,879.78,8,828.91,8,852.78,8,817.40,35.38,0.40,8,879.78,6,751.16,1,227.86,17.51
BSE SENSEX,77,102.05,77,145.46,76,719.70,76,881.25,76,606.57,274.68,0.36,77,145.46,62,801.91,444.74,6.34
BSE SENSEX 50,24,685.81,24,695.05,24,555.77,24,611.78,24,526.13,85.65,0.35,24,695.05,19,576.64,709.75,10.12
BSE SENSEX Next 50,80,680.74,80,694.30,80,059.32,80,487.70,79,876.61,611.09,0.77,80,694.30,52,201.04,534.81,7.63
BSE 100,24,864.62,24,873.02,24,723.33,24,792.32,24,687.63,104.69,0.42,24,873.02,19,037.98,1,248.74,17.81
BSE Bharat 22 Index,8,949.63,8,951.26,8,846.71,8,895.45,8,870.31,25.14,0.28,8,951.26,8,846.71,385.11,5.49
BSE MidCap,45,555.10,45,576.53,45,293.66,45,494.72,45,164.03,330.69,0.73,45,576.53,27,911.73,2,417.41,34.47
BSE SmallCap,50,605.59,50,683.17,50,328.33,50,659.38,50,233.11,426.27,0.85,50,683.17,31,902.03,3,198.34,45.60
BSE 200,10,900.32,10,903.70,10,841.33,10,873.82,10,823.79,50.03,0.46,10,903.70,8,047.51,2,091.46,29.82
BSE 150 MidCap Index,15,467.15,15,472.66,15,365.85,15,443.10,15,338.76,104.34,0.68,15,472.66,9,776.67,2,659.79,37.92
BSE 250 SmallCap Index,6,738.05,6,747.69,6,707.09,6,747.26,6,686.52,60.74,0.91,6,746.53,4,312.18,997.01,14.22
BSE 250 LargeMidCap Index,10,361.30,10,364.18,10,303.18,10,336.05,10,288.67,47.38,0.46,10,364.18,7,614.22,3,887.65,55.43
BSE 400 MidSmallCap Index,11,717.51,11,720.75,11,648.32,11,710.18,11,622.67,87.51,0.75,11,720.75,7,441.44,3,656.79,52.14
BSE 500,34,951.04,34,959.06,34,758.67,34,877.87,34,704.05,173.82,0.50,34,959.06,25,392.29,4,884.65,69.65
BSE AllCap,10,194.05,10,196.38,10,137.24,10,173.90,10,121.54,52.36,0.52,10,196.38,7,326.87,6,917.48,98.63
BSE LargeCap,9,236.95,9,240.32,9,185.11,9,210.09,9,175.08,35.01,0.38,9,240.32,7,082.33,1,301.74,18.56
BSE SmallCap Select Index,7,575.97,7,592.45,7,543.78,7,583.68,7,514.80,68.88,0.92,7,592.45,5,168.61,309.64,4.42
BSE MidCap Select Index,16,225.68,16,237.17,16,109.53,16,167.38,16,059.25,108.13,0.67,16,237.17,10,321.38,247.16,3.52
BSE 100 LargeCap TMC Index,8,876.52,8,879.78,8,828.91,8,852.78,8,817.40,35.38,0.40,8,879.78,6,751.16,1,227.86,17.51
BSE SENSEX,77,102.05,77,145.46,76,719.70,76,881.25,76,606.57,274.68,0.36,77,145.46,62,801.91,444.74,6.34
BSE SENSEX 50,24,685.81,24,695.05,24,555.77,24,611.78,24,526.13,85.65,0.35,24,695.05,19,576.64,709.75,10.12
BSE SENSEX Next 50,80,680.74,80,694.30,80,059.32,80,487.70,79,876.61,611.09,0.77,80,694.30,52,201.04,534.81,7.63
BSE 100,24,864.62,24,873.02,24,723.33,24,792.32,24,687.63,104.69,0.42,24,873.02,19,037.98,1,248.74,17.81
BSE Bharat 22 Index,8,949.63,8,951.26,8,846.71,8,895.45,8,870.31,25.14,0.28,8,951.26,8,846.71,385.11,5.49
BSE MidCap,45,555.10,45,576.53,45,293.66,45,494.72,45,164.03,330.69,0.73,45,576.53,27,911.73,2,417.41,34.47
BSE SmallCap,50,605.59,50,683.17,50,328.33,50,659.38,50,233.11,426.27,0.85,50,683.17,31,902.03,3,198.34,45.60
BSE 200,10,900.32,10,903.70,10,841.33,10,873.82,10,823.79,50.03,0.46,10,903.70,8,047.51,2,091.46,29.82
BSE 150 MidCap Index,15,467.15,15,472.66,15,365.85,15,443.10,15,338.76,104.34,0.68,15,472.66,9,776.67,2,659.79,37.92
BSE 250 SmallCap Index,6,738.05,6,747.69,6,707.09,6,747.26,6,686.52,60.74,0.91,6,746.53,4,312.18,997.01,14.22
BSE 250 LargeMidCap Index,10,361.30,10,364.18,10,303.18,10,336.05,10,288.67,47.38,0.46,10,364.18,7,614.22,3,887.65,55.43
BSE 400 MidSmallCap Index,11,717.51,11,720.75,11,648.32,11,710.18,11,622.67,87.51,0.75,11,720.75,7,441.44,3,656.79,52.14
BSE 500,34,951.04,34,959.06,34,758.67,34,877.87,34,704.05,173.82,0.50,34,959.06,25,392.29,4,884.65,69.65
BSE AllCap,10,194.05,10,196.38,10,137.24,10,173.90,10,121.54,52.36,0.52,10,196.38,7,326.87,6,917.48,98.63
BSE LargeCap,9,236.95,9,240.32,9,185.11,9,210.09,9,175.08,35.01,0.38,9,240.32,7,082.33,1,301.74,18.56
BSE SmallCap Select Index,7,575.97,7,592.45,7,543.78,7,583.68,7,514.80,68.88,0.92,7,592.45,5,168.61,309.64,4.42
BSE MidCap Select Index,16,225.68,16,237.17,16,109.53,16,167.38,16,059.25,108.13,0.67,16,237.17,10,321.38,247.16,3.52
BSE 100 LargeCap TMC Index,8,876.52,8,879.78,8,828.91,8,852.78,8,817.40,35.38,0.40,8,879.78,6,751.16,1,227.86,17.51
